text,diagnostic_category,severity_level,urgency_level
Patient reports joint pain in knees,Rheumatologic,1,3
Patient reports sudden vision loss,Dermatological,1,1
Patient reports allergic reaction,Respiratory,4,1
Patient reports loss of consciousness,Rheumatologic,5,1
Patient reports seizure episode,Endocrinological,5,2
Patient reports weight loss and fatigue,ENT,2,1
Patient reports frequent migraines,Psychiatric,3,1
Patient reports knee injury,Urology,1,1
Patient reports headache and mild fever,Gastrointestinal,1,1
Patient reports burn on hand,Injury,4,2
Patient reports loss of consciousness,Gastrointestinal,4,3
Patient reports nosebleed,Endocrinological,2,3
Patient reports weight loss and fatigue,Endocrinological,2,3
Patient reports memory loss,Respiratory,2,1
Patient reports insomnia,Emergency,4,1
Patient reports blood in stool,Injury,5,3
Patient reports knee injury,Emergency,2,2
Patient reports minor laceration on arm,Endocrinological,4,2
Patient reports loss of consciousness,Gastrointestinal,1,2
Patient reports high blood sugar,Rheumatologic,5,3
Patient reports joint pain in knees,Rheumatologic,5,1
Patient reports dizziness upon standing,Dermatological,4,3
Patient reports urinary frequency and burning,Rheumatologic,5,1
Patient reports joint pain in knees,Endocrinological,3,3
Patient reports high blood sugar,Rheumatologic,1,2
Patient reports chest pain and shortness of breath,Rheumatologic,2,1
Patient reports irregular heartbeat,Emergency,5,3
Patient reports nausea and vomiting,Endocrinological,5,3
Patient reports swelling in ankles,Endocrinological,5,3
Patient reports headache and mild fever,Gastrointestinal,4,1
Patient reports severe abdominal pain,Gastrointestinal,3,1
Patient reports dizziness upon standing,Dermatological,1,2
Patient reports chest pain and shortness of breath,Emergency,1,2
Patient reports minor laceration on arm,Neurological,5,1
Patient reports frequent migraines,Neurological,3,3
Patient reports rash on torso,Rheumatologic,3,2
Patient reports headache and mild fever,Rheumatologic,5,3
Patient reports blurry vision,Psychiatric,3,2
Patient reports memory loss,Psychiatric,5,1
Patient reports weight loss and fatigue,Rheumatologic,1,2
Patient reports earache and discharge,Emergency,1,2
Patient reports insomnia,Gastrointestinal,1,3
Patient reports chest pain and shortness of breath,Respiratory,5,1
Patient reports nausea and vomiting,Gastrointestinal,2,1
Patient reports skin infection,Psychiatric,1,3
Patient reports burn on hand,ENT,2,3
Patient reports back pain,Dermatological,4,2
Patient reports swelling in ankles,Endocrinological,4,3
Patient reports blurry vision,Dermatological,4,3
Patient reports seizure episode,Psychiatric,1,1
Patient reports chest pain and shortness of breath,Emergency,2,2
Patient reports minor laceration on arm,ENT,2,3
Patient reports back pain,Endocrinological,4,1
Patient reports swelling in ankles,Ophthalmology,2,1
Patient reports back pain,Neurological,2,1
Patient reports high blood sugar,Neurological,1,1
Patient reports shallow breathing,Urology,1,2
Patient reports blurry vision,Neurological,2,3
Patient reports high blood sugar,Respiratory,3,1
Patient reports heart palpitations,Neurological,5,3
Patient reports burn on hand,Psychiatric,4,3
Patient reports severe abdominal pain,Respiratory,4,2
Patient reports earache and discharge,Neurological,1,3
Patient reports heart palpitations,Injury,1,2
Patient reports frequent migraines,Injury,3,1
Patient reports earache and discharge,Psychiatric,2,1
Patient reports minor laceration on arm,Cardiovascular,2,2
Patient reports joint pain in knees,Neurological,3,2
Patient reports swelling in ankles,Psychiatric,1,3
Patient reports confused speech,Psychiatric,5,1
Patient reports muscle cramps,ENT,4,1
Patient reports seizure episode,Injury,4,3
Patient reports heart palpitations,Urology,4,3
Patient reports headache and mild fever,Respiratory,2,2
Patient reports confused speech,Respiratory,3,3
Patient reports sudden vision loss,Urology,2,3
Patient reports sudden vision loss,Dermatological,2,2
Patient reports loss of consciousness,Injury,4,2
Patient reports back pain,Dermatological,4,2
Patient reports muscle cramps,Rheumatologic,2,1
Patient reports memory loss,Ophthalmology,1,2
Patient reports chest pain and shortness of breath,Emergency,1,3
Patient reports sudden vision loss,Dermatological,2,3
Patient reports back pain,Endocrinological,5,1
Patient reports severe abdominal pain,Injury,5,2
Patient reports knee injury,Ophthalmology,4,2
Patient reports irregular heartbeat,ENT,3,2
Patient reports weight loss and fatigue,Injury,5,3
Patient reports back pain,Psychiatric,4,2
Patient reports back pain,Gastrointestinal,3,3
Patient reports swelling in ankles,Rheumatologic,1,1
Patient reports burn on hand,Psychiatric,5,1
Patient reports urinary frequency and burning,Gastrointestinal,5,3
Patient reports rash on torso,Ophthalmology,2,2
Patient reports blood in stool,Respiratory,5,3
